description,serving_size,"Carbohydrate, by difference-G",Cholesterol-MG,Energy-KCAL,"Fiber, total dietary-G",Protein-G,"Sugars, total including NLEA-G",Total lipid (fat)-G,"Magnesium, Mg-MG","Vitamin C, total ascorbic acid-MG",Vitamin B-6-MG
"CHOCOLATE CHIP ENERGY BAR, CHOCOLATE CHIP",68.0,66.18,0.0,368.0,5.9,14.71,32.35,7.35,118.0,8.8,0.294
"INSTANT SUGAR FREE OATMEAL, MAPLE & BROWN SUGAR, MAPLE & BROWN SUGAR",28.0,67.86,0.0,357.0,10.7,10.71,0.0,7.14,143.0,0.0,1.429
"CRUNCHY PEANUT BUTTER PROTEIN BARS, CRUNCHY PEANUT BUTTER",68.0,42.65,0.0,412.0,2.9,29.41,32.35,14.71,88.0,44.1,0.735
"CHOCOLATE CHIP PROTEIN BARS, CHOCOLATE CHIP",68.0,42.65,0.0,397.0,4.4,29.41,30.88,11.76,88.0,44.1,0.735
"CHOCOLATE HAZELNUT PROTEIN BARS, CHOCOLATE HAZELNUT",68.0,41.18,0.0,412.0,2.9,29.41,30.88,14.71,118.0,44.1,0.735
"PECAN PIE ENERGY BARS, PECAN PIE",68.0,60.29,0.0,382.0,5.9,13.24,30.88,11.76,88.0,79.4,0.588
"CHOCOLATE BROWNIE ENERGY BARS, CHOCOLATE BROWNIE",68.0,64.71,0.0,368.0,5.9,13.24,30.88,7.35,147.0,8.8,0.294
"HOT CHOCOLATE ENERGY BARS, HOT CHOCOLATE",68.0,63.24,0.0,368.0,5.9,14.71,32.35,7.35,118.0,8.8,0.294
"SPICED PUMPKIN PIE ENERGY BARS, SPICED PUMPKIN PIE",68.0,66.18,0.0,368.0,5.9,13.24,33.82,6.62,118.0,8.8,0.294
"HOT CHOCOLATE ENERGY BARS, HOT CHOCOLATE",68.0,63.24,0.0,368.0,5.9,14.71,32.35,7.35,118.0,8.8,0.294
"ICED GINGERBREAD ENERGY BARS, ICED GINGERBREAD",68.0,64.71,0.0,368.0,5.9,11.76,33.82,8.82,118.0,8.8,0.294
"SPICED PUMPKIN PIE ENERGY BARS, SPICED PUMPKIN PIE",68.0,66.18,0.0,368.0,5.9,13.24,33.82,6.62,118.0,8.8,0.294
"WHITE CHOCOLATE MACADAMIA NUT ENERGY BARS, WHITE CHOCOLATE MACADAMIA NUT",68.0,60.29,0.0,382.0,5.9,13.24,30.88,10.29,88.0,79.4,0.588
"CRUNCHY PEANUT BUTTER ENERGY BARS, CRUNCHY PEANUT BUTTER",68.0,60.29,0.0,368.0,5.9,16.18,30.88,8.82,88.0,79.4,0.588
"BERRY POMEGRANATE CHIA ENERGY BARS, BERRY POMEGRANATE CHIA",68.0,66.18,0.0,368.0,5.9,13.24,32.35,6.62,118.0,8.8,0.294
"CRUNCHY PEANUT BUTTER ENERGY BARS, CRUNCHY PEANUT BUTTER",68.0,58.82,0.0,382.0,5.9,16.18,27.94,10.29,147.0,5.3,0.294
"NUTS & SEEDS ALMONDS, PEANUTS, PUMPKIN SEEDS ENERGY BARS, NUTS & SEEDS",68.0,55.88,0.0,397.0,5.9,16.18,26.47,14.71,176.0,8.8,0.294
"OATMEAL RAISIN WALNUT ENERGY BARS, OATMEAL RAISIN WALNUT",68.0,63.24,0.0,368.0,5.9,14.71,30.88,8.82,118.0,8.8,0.294
"CHOCOLATE BROWNIE ENERGY BARS, CHOCOLATE BROWNIE",68.0,64.71,0.0,368.0,5.9,13.24,30.88,7.35,147.0,5.3,0.294
"BANANA NUT BREAD ENERGY BARS, BANANA NUT BREAD",68.0,63.24,0.0,368.0,5.9,13.24,32.35,8.82,118.0,8.8,0.294
"BLUEBERRY CRISP ENERGY BARS, BLUEBERRY CRISP",68.0,64.71,0.0,368.0,5.9,13.24,32.35,7.35,118.0,5.3,0.294
"BERRY POMEGRANATE CHIA ENERGY BARS, BERRY POMEGRANATE CHIA",68.0,66.18,0.0,368.0,5.9,13.24,32.35,6.62,118.0,8.8,0.294
"COCONUT CHOCOLATE CHIP ENERGY BARS, COCONUT CHOCOLATE CHIP",68.0,63.24,0.0,382.0,5.9,13.24,29.41,8.82,118.0,5.3,0.294
"CARROT CAKE ENERGY BARS, CARROT CAKE",68.0,66.18,0.0,368.0,5.9,13.24,36.76,6.62,118.0,5.3,0.294
"CHOCOLATE CHIP PEANUT CRUNCH ENERGY BARS, CHOCOLATE CHIP PEANUT CRUNCH",68.0,60.29,0.0,382.0,5.9,14.71,29.41,10.29,118.0,5.3,0.294
"CHOCOLATE CHIP ENERGY BARS, CHOCOLATE CHIP",68.0,66.18,0.0,368.0,5.9,13.24,30.88,7.35,118.0,5.3,0.294
"CRUNCHY PEANUT BUTTER ENERGY BARS, CRUNCHY PEANUT BUTTER",68.0,58.82,0.0,382.0,5.9,16.18,27.94,10.29,147.0,5.3,0.294
"OATMEAL RAISIN WALNUT ENERGY BARS, OATMEAL RAISIN WALNUT",68.0,63.24,0.0,368.0,5.9,13.24,30.88,8.82,118.0,5.3,0.294
"SIERRA TRAIL MIX PEANUTS, CHOCOLATE, RAISINS ENERGY BARS, SIERRA TRAIL MIX",68.0,61.76,0.0,382.0,5.9,14.71,32.35,10.29,118.0,5.3,0.294
"NUTS & SEEDS ALMONDS, PEANUTS, PUMPKIN SEEDS ENERGY BARS, NUTS & SEEDS",68.0,55.88,0.0,40.0,5.9,14.71,26.47,14.71,147.0,5.3,0.294
"PEANUT TOFFEE BUZZ ENERGY BARS, PEANUT TOFFEE BUZZ",68.0,61.76,0.0,382.0,5.9,14.71,30.88,8.82,118.0,5.3,0.294
"WHITE CHOCOLATE MACADAMIA NUT ENERGY BARS, WHITE CHOCOLATE MACADAMIA NUT",68.0,61.76,0.0,382.0,5.9,13.24,30.88,10.29,118.0,5.3,0.294
"WHITE CHOCOLATE MACADAMIA NUT ENERGY BARS, WHITE CHOCOLATE MACADAMIA NUT",68.0,61.76,0.0,382.0,5.9,13.24,30.88,10.29,118.0,8.8,0.294
"PEANUT BUTTER BANANA WITH DARK CHOCOLATE ENERGY BARS, PEANUT BUTTER BANANA WITH DARK CHOCOLATE",68.0,60.29,0.0,382.0,5.9,14.71,30.88,10.29,118.0,5.3,0.294
"LUNA, WHOLE NUTRITION BAR, DARK CHOCOLATE HAZELNUT, DARK CHOCOLATE HAZELNUT",42.0,47.62,0.0,429.0,7.1,16.67,11.9,21.43,95.0,21.4,0.476
"LUNA, WHOLE NUTRITION BAR, DARK CHOCOLATE MOCHA ALMOND, DARK CHOCOLATE MOCHA ALMOND",42.0,50.0,0.0,429.0,7.1,16.67,11.9,19.05,95.0,21.4,0.476
"DARK CHOCOLATE HAZELNUT WHOLE NUTRITION BARS, DARK CHOCOLATE HAZELNUT",42.0,47.62,0.0,429.0,4.8,14.29,11.9,21.43,95.0,21.4,0.476
"WHOLE NUTRITION BAR, DARK CHOCOLATE MOCHA ALMOND",42.0,50.0,0.0,429.0,7.1,16.67,11.9,19.05,95.0,21.4,0.476
HONEY SALTED PEANUT BARS,48.0,50.0,0.0,417.0,6.2,20.83,16.67,16.67,50.0,18.8,0.417
"CHOCOLATE HAZELNUT PROTEIN BARS, CHOCOLATE HAZELNUT",68.0,41.18,0.0,412.0,2.9,29.41,30.88,14.71,118.0,44.1,0.735
"MAPLE & BROWN SUGAR FLAVORED SUGAR FREE INSTANT OATMEAL, MAPLE & BROWN SUGAR",28.0,64.29,0.0,357.0,10.7,14.29,0.0,7.14,143.0,0.0,1.429
ORGANIC WHOLE GRAIN AMARANTH,52.0,65.38,0.0,365.0,13.5,15.38,1.92,6.73,231.0,4.6,0.577
WHOLE TIGERNUTS,30.0,63.33,0.0,500.0,33.3,6.67,20.0,23.33,107.0,6.0,0.333
"MOUNTAIN MUESLI, CHOCOLATE ALMOND MINIS",43.0,51.16,0.0,421.0,7.0,11.63,16.28,20.93,149.0,0.0,0.186
"MOUNTAIN MUESLI, CRANBERRY HAZELNUT",57.0,64.91,0.0,389.0,8.8,10.53,15.79,10.53,119.0,2.1,0.14
"MOUNTAIN MUESLI, CHERRY CHOCOLATE CHIP MINIS",43.0,55.81,0.0,433.0,7.0,11.63,20.93,20.93,149.0,2.8,0.14
"CHICKEN SAUSAGE SPICY ITALIAN WITH RED BELL PEPPERS, CHICKEN",56.0,0.0,36.0,125.0,0.0,19.64,0.0,4.46,43.0,0.0,0.536
"THIN 'N TRIM, CHICKEN SAUSAGE",56.0,0.0,36.0,125.0,0.0,21.43,0.0,4.46,43.0,0.0,0.536
"SPINACH & RED ONION CHICKEN SAUSAGE, SPINACH & RED ONION",56.0,1.79,36.0,125.0,0.0,17.86,0.0,4.46,43.0,2.1,0.536
FROSTED COCOA SWEETENED CORN CEREAL,28.0,89.29,0.0,393.0,0.0,3.57,46.43,0.0,29.0,21.4,1.786
"RAISIN BRAN CRUNCHY WHEAT FLAKES CEREAL WITH RAISINS, RAISIN BRAN",56.0,80.36,0.0,375.0,12.5,7.14,32.14,1.79,143.0,10.7,0.893
"COCOA CRISP SWEETENED RICE CEREAL, COCOA",32.0,84.38,0.0,406.0,0.0,6.25,37.5,6.25,25.0,18.8,1.562
KALE GREAT GREENS SALAD KIT,128.0,17.97,12.0,211.0,4.7,8.59,8.59,13.28,25.0,32.8,0.094
FROSTED SHREDDED WHEAT BITE SIZE CEREAL,55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
CRISPY RICE CEREAL,33.0,87.88,0.0,394.0,0.0,6.06,12.12,0.0,24.0,45.5,1.515
"ALMOND SPROUTED FLOURLESS FLAKE CEREAL, ALMOND",55.0,72.73,0.0,364.0,10.9,14.55,7.27,4.55,130.0,0.0,0.382
"FLAX + CHIA SPROUTED FLOURLESS FLAKE CEREAL, FLAX + CHIA",55.0,74.55,0.0,364.0,10.9,12.73,10.91,2.73,130.0,0.5,0.6
"RAISIN SPROUTED FLOURLESS FLAKE CEREAL, RAISIN",55.0,76.36,0.0,345.0,9.1,12.73,20.0,1.82,91.0,0.0,0.509
"ORIGINAL SPROUTED FLOURLESS FLAKE CEREAL, ORIGINAL",55.0,76.36,0.0,382.0,12.7,14.55,7.27,1.82,130.0,0.0,0.382
TOASTED OATS,30.0,76.67,0.0,400.0,10.0,13.33,6.67,3.33,133.0,50.0,1.667
CRUNCHY WHEAT & BRAN FLAKES CEREAL WITH RAISINS,59.0,0.08,0.0,322.0,11.9,8.47,28.81,1.69,136.0,0.0,0.847
SUPER SEED & ANCIENT GRAIN BLEND,30.0,56.67,0.0,433.0,13.3,13.33,0.0,16.67,267.0,0.0,0.267
REGULAR INSTANT OATMEAL,28.0,67.86,0.0,357.0,10.7,10.71,0.0,7.14,143.0,0.0,1.429
COCKTAIL SIZE CARAWAY RYE BREAD,48.0,45.83,0.0,250.0,2.1,8.33,0.0,4.17,17.0,0.0,0.0
"KROGER, OAT SQUARES",56.0,78.57,0.0,375.0,8.9,10.71,16.07,4.46,107.0,10.7,0.893
"ESSENTIAL EVERYDAY, CREAMY PEANUT BUTTER SPREAD",35.0,37.14,0.0,543.0,8.6,20.0,11.43,34.29,171.0,0.0,0.343
"BAR, CHOCOLATE COCONUT CASHEW",64.0,54.69,0.0,422.0,4.7,18.75,28.12,17.19,156.0,32.8,0.625
"CHOCOLATE PEANUT BUTTER BAR, CHOCOLATE PEANUT BUTTER",64.0,53.12,0.0,422.0,4.7,20.31,28.12,17.19,156.0,32.8,0.625
"COCONUT ALMOND DELIGHT SNACK BARS, COCONUT ALMOND DELIGHT",44.0,40.91,0.0,455.0,13.6,15.91,2.27,34.09,55.0,20.5,0.455
"COOKIES & CREME PROTEIN-RICH MEAL BAR, COOKIES & CREME",50.0,44.0,0.0,400.0,18.0,28.0,2.0,22.0,80.0,24.0,0.6
"CHOCOLATE CHIP COOKIE DOUGH PROTEIN-RICH MEAL BARS, CHOCOLATE CHIP COOKIE DOUGH",60.0,53.33,0.0,367.0,23.3,21.67,1.67,16.67,40.0,15.0,0.333
DARK CHOCOLATE DECADENCE BAR,44.0,50.0,0.0,364.0,25.0,20.45,2.27,20.45,55.0,20.5,0.455
STRAWBERRY ALMOND BAR,48.0,41.67,10.0,417.0,10.4,31.25,4.17,18.75,83.0,31.2,0.625
"RAISIN BRAN TOASTED WHOLE GRAIN WHEAT AND BRAN CEREAL WITH RAISINS, RAISIN BRAN",59.0,79.66,0.0,339.0,10.2,8.47,33.9,1.69,136.0,0.0,0.847
"RAISIN BRAN TOASTED WHOLE GRAIN WHEAT AND BRAN CEREAL WITH RAISINS, RAISIN BRAN",59.0,79.66,0.0,339.0,10.2,8.47,33.9,1.69,136.0,0.0,0.847
"RAISIN BRAN WITH GRANOLA WHOLE GRAIN WHEAT & WHEAT CEREAL WITH RAISINS AND CRUNCHY OAT CLUSTERS, RAISIN BRAN",54.0,81.48,0.0,389.0,7.4,7.41,35.19,3.7,74.0,11.1,0.926
"RAISIN BRAN WITH GRANOLA WHOLE GRAIN WHEAT & WHEAT BRAN CEREAL WITH RAISINS AND CRUNCHY OAT CLUSTERS, RAISIN BRAN",54.0,83.33,0.0,370.0,7.4,7.41,35.19,3.7,74.0,11.1,0.926
"CARAMEL NUT CHOCOLATE HIGH PROTEIN BARS, CARAMEL NUT CHOCOLATE",96.0,37.5,36.0,406.0,2.1,31.25,8.33,15.62,25.0,15.6,0.625
"PEANUT BUTTER CRUNCH PROTEIN BARS, PEANUT BUTTER CRUNCH",86.0,30.23,35.0,453.0,2.3,34.88,9.3,20.93,19.0,14.0,0.581
"CARAMEL NUT CHOCOLATE PROTEIN BARS, CARAMEL NUT CHOCOLATE",96.0,37.5,36.0,406.0,2.1,31.25,8.33,15.62,25.0,15.6,0.625
"PEANUT BUTTER CRUNCH PROTEIN BARS, PEANUT BUTTER CRUNCH",86.0,30.23,35.0,453.0,2.3,34.88,9.3,20.93,19.0,14.0,0.581
SWEETENED CORN CEREAL,26.0,84.62,0.0,385.0,3.8,3.85,38.46,3.85,0.0,23.1,1.923
YUMMY WHOLE GRAIN & VEGETABLE CEREAL,32.0,84.38,0.0,375.0,6.2,6.25,18.75,3.12,50.0,18.8,0.625
"PARADE, INSTANT OATMEAL",28.0,64.29,0.0,357.0,10.7,14.29,3.57,5.36,143.0,0.0,1.429
"CHOCOLATE SENSATION COMPLETE NUTRITIONAL DRINK, CHOCOLATE SENSATION",42.0,73.81,12.0,357.0,2.4,14.29,54.76,1.19,190.0,200.0,0.952
"PEANUT BUTTER & JELLY HIGH PROTEIN BARS, PEANUT BUTTER & JELLY",96.0,36.46,26.0,406.0,1.0,31.25,10.42,15.62,25.0,15.6,0.625
"BLUE CORN TORTILLA CHIPS, BLUE CORN",28.0,64.29,0.0,536.0,7.1,7.14,0.0,25.0,114.0,0.0,0.429
"APPLE CINNAMON SWEETENED TOASTED OAT CEREAL, APPLE CINNAMON",40.0,80.0,0.0,400.0,5.0,7.5,37.5,6.25,60.0,15.0,1.25
"COCOA CRISPS SWEETENED CHOCOLATE FLAVORED RICE CEREAL WITH REAL COCOA, COCOA CRISPS",29.0,89.66,0.0,414.0,0.0,3.45,44.83,3.45,28.0,0.0,1.724
"TOASTED OATS WHOLE GRAIN OAT CEREAL, TOASTED OATS",28.0,75.0,0.0,357.0,10.7,10.71,3.57,5.36,143.0,21.4,1.786
"WHEAT SQUARES OVEN TOASTED WHOLE GRAIN WHEAT CEREAL, WHEAT SQUARES",47.0,82.98,0.0,340.0,10.6,8.51,10.64,2.13,85.0,12.8,1.064
"RICE SQUARES OVEN TOASTED RICE CEREAL, RICE SQUARES",41.0,85.37,0.0,366.0,0.0,7.32,7.32,0.0,39.0,14.6,1.22
"SWEET HEAT BBQ FLAVORED KETTLE COOKED CRINKLE CUT POTATO CHIPS, SWEET HEAT BBQ",28.0,64.29,0.0,500.0,3.6,7.14,7.14,25.0,57.0,32.1,0.714
"SALT & VINEGAR POTATO CHIPS, SALT & VINEGAR",28.0,53.57,0.0,536.0,3.6,3.57,3.57,35.71,57.0,32.1,0.714
DRY ROASTED WITH SEA SALT SHELLED PISTACHIOS,30.0,30.0,0.0,567.0,10.0,20.0,6.67,43.33,107.0,4.0,1.0
DRY ROASTED WITH SEA SALT PISTACHIOS,17.0,29.41,0.0,588.0,11.8,23.53,5.88,47.06,188.0,7.1,1.765
"FOOD LION, CASHEWS HALVES & PIECES",28.0,28.57,0.0,571.0,3.6,17.86,7.14,46.43,286.0,0.0,0.286
"FOOD LION, NATURAL ALMONDS",28.0,21.43,0.0,571.0,10.7,21.43,3.57,50.0,286.0,0.0,0.0
"HANNAFORD, WAVY POTATO CHIPS",28.0,50.0,0.0,536.0,3.6,7.14,0.0,35.71,57.0,21.4,0.286
"HANNAFORD, CLASSIC POTATO CHIPS",28.0,53.57,0.0,571.0,3.6,3.57,3.57,35.71,57.0,32.1,0.714
"HANNAFORD, POTATO CHIPS WAVY",28.0,53.57,0.0,571.0,3.6,3.57,3.57,39.29,57.0,32.1,0.714
"HANNAFORD, DRY ROASTED SUNFLOWER KERNELS",29.0,24.14,0.0,552.0,10.3,17.24,3.45,48.28,110.0,0.0,0.69
"HANNAFORD, ALMONDS",28.0,21.43,0.0,571.0,10.7,21.43,3.57,50.0,286.0,0.0,0.0
"HY-VEE, HONEY ROASTED PEANUTS",28.0,28.57,0.0,536.0,7.1,21.43,14.29,42.86,143.0,0.0,0.286
"RAWXIES, CHOCOLATE CHIP COOKIE DOUGH",47.0,34.04,0.0,277.0,6.4,8.51,19.15,12.77,128.0,1.3,0.255
"RAWXIES, CRUNCH PAPRIKA",28.0,21.43,0.0,539.0,17.9,25.0,3.57,39.29,414.0,2.1,0.714
"ORIGINAL KETTLE CHIPS, ORIGINAL",28.0,60.71,0.0,536.0,3.6,7.14,3.57,32.14,57.0,32.1,0.714
"BIG Y, BLACK BEAN & SALSA WHOLE GRAIN TORTILLA CHIPS",28.0,67.86,0.0,464.0,10.7,7.14,3.57,21.43,86.0,17.1,0.286
"FOOD LION, CLASSIC POTATO CHIPS",28.0,53.57,0.0,571.0,3.6,3.57,3.57,35.71,57.0,32.1,0.714
TRAIL MIX FRUIT & NUT,30.0,70.0,0.0,400.0,3.3,6.67,53.33,15.0,53.0,8.0,0.0
"HANNAFORD, LIGHTLY SALTED CASHEWS HALVES & PIECES",28.0,28.57,0.0,571.0,3.6,17.86,7.14,46.43,286.0,0.0,0.286
"HANNAFORD, MIXED NUT",28.0,21.43,0.0,607.0,7.1,17.86,3.57,53.57,214.0,0.0,0.0
"HANNAFORD, DRY ROASTED MACADAMIA NUTS MADE WITH SEA SALT",28.0,14.29,0.0,714.0,7.1,7.14,3.57,75.0,114.0,0.0,0.0
"UTZ, POTATO CHIPS",28.0,50.0,0.0,536.0,3.6,7.14,0.0,32.14,57.0,21.4,0.429
"UTZ, POTATO CHIPS, SALSA VERDE, SALSA VERDE",28.0,60.71,0.0,536.0,3.6,7.14,0.0,32.14,57.0,21.4,0.286
ALL AMERICAN POTATO CHIPS,28.0,53.57,0.0,571.0,3.6,3.57,3.57,35.71,57.0,32.1,0.714
PISTACHIO,30.0,26.67,0.0,567.0,10.0,20.0,6.67,46.67,200.0,4.0,1.0
"SEA SALT & VINEGAR KETTLE COOKED POTATO CHIPS, SEA SALT & VINEGAR",28.0,60.71,0.0,500.0,3.6,3.57,7.14,28.57,57.0,32.1,0.714
"SOUR CREAM & ONION POTATO CHIPS, SOUR CREAM & ONION",28.0,53.57,0.0,536.0,3.6,7.14,7.14,35.71,57.0,32.1,0.714
CLASSIC POTATO CHIPS,28.0,53.57,0.0,571.0,3.6,7.14,3.57,35.71,57.0,4.3,0.571
RIPPLED POTATO CHIPS,28.0,53.57,0.0,571.0,3.6,7.14,7.14,35.71,29.0,4.3,0.429
"GIANT EAGLE, LIGHTLY SALTED CLASSIC POTATO CHIPS",28.0,53.57,0.0,571.0,3.6,7.14,3.57,35.71,57.0,4.3,0.571
ITALIAN STYLE SAUSAGE POTATO CHIPS,28.0,53.57,0.0,536.0,3.6,7.14,7.14,35.71,57.0,32.1,0.714
SMOOTHIE BASE MIX,45.0,84.44,0.0,333.0,0.0,0.0,57.78,0.0,0.0,0.0,0.0
MIXED NUTS,28.0,17.86,0.0,571.0,7.1,21.43,3.57,53.57,214.0,0.0,0.0
TORTILLA ROUNDS CHIPS,28.0,67.86,0.0,536.0,7.1,7.14,0.0,25.0,29.0,0.0,0.286
HONEY ROASTED WHOLE CASHEWS,28.0,39.29,0.0,536.0,3.6,14.29,17.86,39.29,214.0,0.0,0.0
ROASTED & SALTED ALMONDS,28.0,17.86,0.0,607.0,10.7,21.43,3.57,53.57,286.0,0.0,0.0
CASHEWS HALVES & PIECES,28.0,28.57,0.0,571.0,3.6,17.86,3.57,46.43,286.0,0.0,0.0
PISTACHIO KERNELS,28.0,28.57,0.0,571.0,10.7,21.43,7.14,46.43,114.0,0.0,1.071
"DZA BRANDS, TORTILLA CHIPS",28.0,64.29,0.0,500.0,7.1,7.14,7.14,25.0,29.0,0.0,0.143
"GOOD HEALTH, VEGGIE STRAWS",28.0,64.29,0.0,464.0,0.0,3.57,0.0,21.43,29.0,53.6,1.429
LIGHTLY SALTED PISTACHIOS,30.0,26.67,0.0,533.0,10.0,20.0,6.67,46.67,133.0,0.0,1.333
"FOOD LION, WAVY POTATO CHIPS",28.0,53.57,0.0,571.0,3.6,3.57,3.57,39.29,57.0,32.1,0.714
"FOOD LION, LIGHTLY SLATED MIXED NUTS",28.0,17.86,0.0,607.0,7.1,21.43,3.57,53.57,214.0,0.0,0.0
"FOOD LION, SUNFLOWER KERNELS",29.0,24.14,0.0,552.0,10.3,17.24,3.45,48.28,110.0,0.0,0.69
DELUXE MIXED NUTS,28.0,21.43,0.0,607.0,7.1,17.86,3.57,53.57,214.0,0.0,0.0
"RIPPLE POTATO CHIPS, RIPPLE",28.0,53.57,0.0,571.0,3.6,3.57,3.57,39.29,57.0,32.1,0.714
"MIKESELL'S, PREMIUM POTATO CHIPS",28.0,53.57,0.0,571.0,3.6,3.57,3.57,39.29,643.0,32.1,0.714
SALTED MIXED NUTS,28.0,17.86,0.0,607.0,7.1,21.43,3.57,53.57,214.0,0.0,0.0
"HY-VEE, PARTY PEANUTS",28.0,17.86,0.0,571.0,7.1,25.0,3.57,50.0,214.0,0.0,0.286
"DAILY CHEF, PISTACHIOS ROASTED WITH SEA SALT",30.0,30.0,0.0,567.0,10.0,20.0,6.67,43.33,107.0,4.0,1.0
"MEXICAN HOT CHOCOLATE ENERGY BARS, MEXICAN HOT CHOCOLATE",68.0,63.24,0.0,368.0,5.9,14.71,30.88,7.35,118.0,8.8,0.294
"MILKMAKERS, LACTATION COOKIES, OATMEAL CHOCOLATE CHIP",57.0,56.14,35.0,404.0,7.0,8.77,24.56,15.79,175.0,21.1,0.702
"MCCLURE'S, KETTLE COOKED POTATO CHIPS",42.5,61.18,0.0,518.0,4.7,4.71,4.71,28.24,56.0,35.3,0.706
PISTACHIOS,35.0,14.29,0.0,286.0,5.7,11.43,2.86,25.71,69.0,0.0,0.571
"GIANT EAGLE, RIPPLED POTATO CHIPS",28.0,53.57,0.0,571.0,3.6,7.14,3.57,39.29,57.0,4.3,0.429
"GIANT EAGLE, CLASSIC KETTLE COOKED POTATO CHIPS",28.0,67.86,0.0,464.0,7.1,7.14,3.57,17.86,57.0,8.6,0.714
"FOOD LION, PARTY PEANUTS",28.0,17.86,0.0,571.0,7.1,25.0,3.57,50.0,214.0,0.0,0.286
"HANNAFORD, RIPPLED POTATO CHIPS",28.0,50.0,0.0,536.0,3.6,7.14,0.0,35.71,57.0,21.4,0.286
"HANNAFORD, POTATO CHIPS",28.0,50.0,0.0,536.0,3.6,7.14,0.0,35.71,57.0,21.4,0.286
"HANNAFORD, MIXED NUTS",28.0,17.86,0.0,571.0,7.1,21.43,3.57,53.57,214.0,0.0,0.0
"HANNAFORD, PARTY PEANUTS",28.0,17.86,0.0,571.0,7.1,25.0,3.57,50.0,214.0,0.0,0.286
PURELY MADE HEMP SEED,30.0,3.33,0.0,600.0,3.3,33.33,0.0,50.0,667.0,0.0,1.0
"RALEY'S, KETTLE POTATO CHIPS",28.0,67.86,0.0,464.0,3.6,7.14,7.14,17.86,86.0,42.9,1.071
POTATO CHIPS,42.5,54.12,0.0,541.0,2.4,7.06,9.41,35.29,56.0,19.8,0.376
"DAILY CHEF, DRY ROASTED CALIFORNIA PISTACHIOS WITH SEA SALT",30.0,30.0,0.0,567.0,10.0,20.0,6.67,43.33,107.0,4.0,1.0
"JUST HEMP FOODS, HULLED HEMP SEED",30.0,3.33,0.0,600.0,3.3,33.33,0.0,50.0,667.0,0.0,1.0
"FOXY, FLAX SUPER BRITTLE",40.0,60.0,0.0,375.0,15.0,7.5,25.0,17.5,300.0,0.0,0.4
"BRAN FLAKES WHEAT AND BRAN FLAKES CEREAL, BRAN FLAKES",39.0,79.49,0.0,308.0,17.9,10.26,15.38,2.56,154.0,153.8,5.128
"NEW DAY FARMS, MICROGREENS, SUNFLOWER & RADISH",90.5,4.42,0.0,33.0,2.2,2.21,0.0,1.1,66.0,6.6,0.177
"NEW DAY FARMS, MICROGREENS SUNFLOWER & BEET",90.5,4.42,0.0,28.0,2.2,2.21,0.0,0.0,66.0,6.6,0.177
"NEW DAY FARMS, MICROGREENS SUNFLOWER & BASIL",90.5,4.42,0.0,28.0,2.2,2.21,0.0,0.0,66.0,6.6,0.177
"RICEBLISS, WHOLESOME BROWN RICE SNACK, COCOA",156.0,15.38,0.0,103.0,1.3,1.28,6.41,4.49,26.0,15.4,0.026
"RICEBLISS, WHOLESOME BROWN RICE SNACK, ACAI & CHIA",156.0,17.31,0.0,115.0,1.3,1.28,7.69,4.49,26.0,26.9,0.026
"KROGER, PEANUT BUTTER CHIP MATES",30.0,76.67,0.0,433.0,3.3,6.67,36.67,10.0,53.0,20.0,1.667
"KROGER, NUTTY NUGGETS, CRUNCHY WHEAT & BARLEY CEREAL",58.0,82.76,0.0,345.0,12.1,10.34,8.62,1.72,103.0,0.0,0.862
"KROGER, HONEY NUT BITZ TOASTED CORN CEREAL",32.0,87.5,0.0,375.0,3.1,6.25,28.12,0.0,0.0,18.8,1.562
"FOODTOWN, RAISIN BRAN CEREAL",59.0,77.97,0.0,322.0,11.9,8.47,28.81,1.69,136.0,0.0,0.847
"SHURFINE, HONEY & OATS MULTI-GRAIN CEREAL",32.0,84.38,0.0,375.0,6.2,6.25,18.75,3.12,50.0,18.8,1.562
"SHURFINE, TOASTED OATS",28.0,75.0,0.0,357.0,10.7,10.71,3.57,5.36,143.0,21.4,1.786
"SHURFINE, TOASTED OATS CEREAL",30.0,76.67,0.0,400.0,10.0,13.33,6.67,3.33,133.0,50.0,1.667
"VALU TIME, FROSTED COCOA",28.0,89.29,0.0,393.0,0.0,3.57,46.43,0.0,29.0,21.4,1.786
FROSTED SHREDDED WHEAT,52.0,80.77,0.0,346.0,9.6,7.69,21.15,1.92,77.0,0.0,0.962
"CRISP RICE TOASTED RICE CEREAL, CRISP RICE",33.0,87.88,0.0,394.0,0.0,9.09,12.12,0.0,24.0,45.5,1.515
"RAISIN BRAN CRUNCHY WHEAT FLAKES CEREAL WITH RAISINS, RAISIN BRAN",56.0,80.36,0.0,375.0,12.5,7.14,32.14,1.79,143.0,10.7,0.893
"EXTRA RAISINS WHEAT BRAN CEREAL WITH RAISINS, EXTRA RAISINS",60.0,78.33,0.0,333.0,10.0,6.67,31.67,1.67,133.0,15.0,0.833
"BRAN FLAKES WHOLE GRAIN WHEAT & WHEAT BRAN CEREAL, BRAN FLAKES",40.0,80.0,0.0,325.0,15.0,10.0,17.5,2.5,138.0,207.5,7.0
REGULAR STEEL CUT INSTANT OATMEAL,45.0,68.89,0.0,378.0,11.1,13.33,2.22,7.78,0.0,0.0,0.667
